id,gloss,replacement,stem,part_of_speech,speaker_id,utterance_id,token_order,corpus_id,transcript_id,speaker_code,speaker_name,speaker_role,target_child_id,target_child_age,target_child_name,target_child_sex,utterance_type,collection_id,collection_name,english,prefix,suffix,num_morphemes,language,corpus_name,clitic
3815338,go,,go,v,2949,964914,4,36,3274,CHI,Adam,Target_Child,2949,28.099139612723054,Adam,male,question,3,Eng-NA,,,,1,eng,Brown,
3816318,go,,go,v,2949,965149,2,36,3272,CHI,Adam,Target_Child,2949,27.131973962504365,Adam,male,declarative,3,Eng-NA,,,,1,eng,Brown,
3817485,go,,go,v,2949,965457,1,36,3277,CHI,Adam,Target_Child,2949,29.394854103780364,Adam,male,question,3,Eng-NA,,,,1,eng,Brown,
3817515,go,,go,v,2949,965470,1,36,3277,CHI,Adam,Target_Child,2949,29.394854103780364,Adam,male,question,3,Eng-NA,,,,1,eng,Brown,
3817528,go,,go,v,2949,965466,3,36,3273,CHI,Adam,Target_Child,2949,27.591942339678432,Adam,male,question,3,Eng-NA,,,,1,eng,Brown,
3817549,go,,go,v,2949,965477,1,36,3277,CHI,Adam,Target_Child,2949,29.394854103780364,Adam,male,question,3,Eng-NA,,,,1,eng,Brown,
3817584,go,,go,v,2949,965481,3,36,3279,CHI,Adam,Target_Child,2949,30.55914905850223,Adam,male,declarative,3,Eng-NA,,,,1,eng,Brown,
3817662,go,,go,v,2949,965506,1,36,3277,CHI,Adam,Target_Child,2949,29.394854103780364,Adam,male,question,3,Eng-NA,,,,1,eng,Brown,
3817704,go,,go,v,2949,965517,2,36,3272,CHI,Adam,Target_Child,2949,27.131973962504365,Adam,male,question,3,Eng-NA,,,,1,eng,Brown,
3817751,go,,go,v,2949,965529,2,36,3272,CHI,Adam,Target_Child,2949,27.131973962504365,Adam,male,question,3,Eng-NA,,,,1,eng,Brown,
3817774,go,,go,v,2949,965532,2,36,3273,CHI,Adam,Target_Child,2949,27.591942339678432,Adam,male,declarative,3,Eng-NA,,,,1,eng,Brown,
3817780,go,,go,v,2949,965536,2,36,3272,CHI,Adam,Target_Child,2949,27.131973962504365,Adam,male,question,3,Eng-NA,,,,1,eng,Brown,
3818730,go,,go,v,2949,965809,1,36,3275,CHI,Adam,Target_Child,2949,28.4933982217294,Adam,male,declarative,3,Eng-NA,,,,1,eng,Brown,
3818975,go,,go,v,2949,965887,1,36,3272,CHI,Adam,Target_Child,2949,27.131973962504365,Adam,male,imperative_emphatic,3,Eng-NA,,,,1,eng,Brown,
3819107,go,,go,v,2949,965923,1,36,3277,CHI,Adam,Target_Child,2949,29.394854103780364,Adam,male,question,3,Eng-NA,,,,1,eng,Brown,
3819250,go,,go,v,2949,965966,2,36,3278,CHI,Adam,Target_Child,2949,30.099180681328157,Adam,male,question,3,Eng-NA,,,,1,eng,Brown,
3819789,went,,go,v,2949,966135,1,36,3281,CHI,Adam,Target_Child,2949,31.460604940553193,Adam,male,declarative,3,Eng-NA,,,PAST,2,eng,Brown,
3819794,go,,go,v,2949,966130,3,36,3283,CHI,Adam,Target_Child,2949,32.52633524302347,Adam,male,declarative,3,Eng-NA,,,,1,eng,Brown,
3819834,go,,go,v,2949,966156,1,36,3275,CHI,Adam,Target_Child,2949,28.4933982217294,Adam,male,question,3,Eng-NA,,,,1,eng,Brown,
3819956,go,,go,v,2949,966193,1,36,3281,CHI,Adam,Target_Child,2949,31.460604940553193,Adam,male,declarative,3,Eng-NA,,,,1,eng,Brown,
3819989,go,,go,v,2949,966201,1,36,3275,CHI,Adam,Target_Child,2949,28.4933982217294,Adam,male,question,3,Eng-NA,,,,1,eng,Brown,
3820073,going,,go,part,2949,966228,2,36,3282,CHI,Adam,Target_Child,2949,32.033511981765535,Adam,male,question,3,Eng-NA,,,PRESP,2,eng,Brown,
3820095,went,,go,v,2949,966239,1,36,3281,CHI,Adam,Target_Child,2949,31.460604940553193,Adam,male,declarative,3,Eng-NA,,,PAST,2,eng,Brown,
3820265,go,,go,v,2949,966294,3,36,3276,CHI,Adam,Target_Child,2949,28.98622148298733,Adam,male,question,3,Eng-NA,,,,1,eng,Brown,
3820363,go,,go,v,2949,966322,2,36,3279,CHI,Adam,Target_Child,2949,30.55914905850223,Adam,male,question,3,Eng-NA,,,,1,eng,Brown,
3820394,going,,go,part,2949,966335,1,36,3282,CHI,Adam,Target_Child,2949,32.033511981765535,Adam,male,question,3,Eng-NA,,,PRESP,2,eng,Brown,
3820402,go,,go,v,2949,966335,2,36,3282,CHI,Adam,Target_Child,2949,32.033511981765535,Adam,male,question,3,Eng-NA,,,,1,eng,Brown,
3820760,go,,go,v,2949,966460,1,36,3275,CHI,Adam,Target_Child,2949,28.4933982217294,Adam,male,declarative,3,Eng-NA,,,,1,eng,Brown,
3820834,go,,go,v,2949,966478,3,36,3276,CHI,Adam,Target_Child,2949,28.98622148298733,Adam,male,question,3,Eng-NA,,,,1,eng,Brown,
